Season,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
1985-1986,"A.C. Green",PF,22,LAL,82,1542,11.80,0.5640,0.0150,0.4300,12.40,15.50,14.00,4.20,1.50,1.70,17.70,14.70,1.40,2.00,3.30,0.1030,-1.6000,0.1000,-1.6000,0.2000
1986-1987,"A.C. Green",PF,23,LAL,79,2240,15.70,0.5990,0.0090,0.4800,11.20,18.80,15.30,4.60,1.50,2.00,12.50,14.70,4.30,3.30,7.60,0.1630,0.9000,0.1000,1.0000,1.7000
1987-1988,"A.C. Green",PF,24,LAL,82,2636,14.50,0.5810,0.0030,0.5920,11.10,19.10,15.30,4.50,1.60,1.00,12.90,14.70,4.50,3.40,7.90,0.1440,0.4000,-0.1000,0.3000,1.5000
1988-1989,"A.C. Green",PF,25,LAL,82,2510,17.80,0.5940,0.0220,0.4740,12.30,20.00,16.40,5.50,1.80,1.20,11.50,17.00,5.80,3.50,9.40,0.1790,1.8000,-0.2000,1.6000,2.3000
1989-1990,"A.C. Green",PF,26,LAL,82,2709,14.70,0.5480,0.0570,0.4590,11.50,18.40,15.10,4.60,1.20,1.10,10.70,17.10,4.40,2.10,7.70,0.1370,0.3000,-0.9000,-0.6000,1.0000
1980-1981,"Abdul Jeelani",SF,26,DAL,66,1108,15.50,0.5150,0.0020,0.5000,8.20,15.70,11.80,9.20,1.90,1.60,13.90,23.50,0.80,0.80,1.60,0.0700,-0.5000,-0.7000,-1.2000,0.2000
1986-1987,"Adrian Branch",SF,23,LAL,32,219,18.80,0.5760,0.0210,0.5630,12.60,14.20,13.50,10.00,3.50,0.80,16.70,26.60,0.40,0.40,0.70,0.1580,-0.9000,0.5000,-0.4000,0.1000
1989-1990,"Adrian Branch",SF,26,MIN,11,91,16.90,0.4600,0.0160,0.3610,9.90,16.90,13.20,8.80,3.50,0.00,10.20,38.10,-0.10,2.10,0.00,0.0140,-0.9000,-1.1000,-2.0000,0.0000
1987-1988,"Adrian Branch",SF,24,NJN,20,308,10.40,0.4610,0.0370,0.1720,7.30,10.90,9.00,8.30,2.50,2.20,16.80,23.70,-0.50,0.30,-0.10,-0.0210,-3.8000,-0.4000,-4.3000,-0.2000
1988-1989,"Adrian Branch",SF,25,POR,67,811,15.70,0.5090,0.0710,0.2750,8.20,9.60,8.80,10.80,2.60,0.20,11.60,26.30,0.70,0.80,1.50,0.0870,-0.4000,-1.0000,-1.4000,0.1000
1989-1990,"Adrian Caldwell",PF,23,HOU,51,331,9.50,0.5490,0.0000,0.3680,11.70,22.90,17.40,2.80,1.60,3.20,26.60,14.80,-0.30,2.10,0.40,0.0610,-5.3000,1.4000,-4.0000,-0.2000
1988-1989,"Adrian Dantley*",SF,33,DAL,31,1081,16.40,0.5460,0.0020,0.5730,6.60,9.00,7.80,11.60,0.90,0.40,12.50,26.30,1.50,0.60,2.10,0.0930,0.8000,-2.1000,-1.3000,0.2000
1989-1990,"Adrian Dantley*",SF,34,DAL,45,1300,15.40,0.5560,0.0040,0.5250,6.90,8.10,7.50,9.60,0.80,0.30,11.20,22.60,2.20,2.10,3.10,0.1130,0.9000,-1.4000,-0.4000,0.5000
1986-1987,"Adrian Dantley*",SF,31,DET,81,2736,18.60,0.6140,0.0050,0.5900,4.20,8.70,6.50,8.80,1.10,0.10,11.30,23.70,7.80,2.50,10.30,0.1810,2.4000,-0.3000,2.1000,2.9000
1987-1988,"Adrian Dantley*",SF,32,DET,69,2144,19.90,0.6190,0.0020,0.6630,4.50,7.30,5.90,11.90,0.90,0.30,10.80,24.20,7.50,1.90,9.40,0.2100,3.7000,-0.2000,3.5000,2.9000
1988-1989,"Adrian Dantley*",SF,33,DET,42,1341,18.20,0.6130,0.0000,0.6160,4.70,8.90,6.90,10.50,0.90,0.30,11.40,22.70,4.00,1.30,5.30,0.1910,2.2000,0.0000,2.2000,1.4000
1988-1989,"Adrian Dantley*",SF,33,TOT,73,2422,17.40,0.5810,0.0010,0.5950,5.50,9.00,7.30,10.90,0.90,0.30,11.90,24.30,5.50,1.90,7.40,0.1470,1.6000,-0.9000,0.7000,1.6000
1980-1981,"Adrian Dantley*",SF,25,UTA,80,3417,24.30,0.6220,0.0040,0.4820,6.50,10.50,8.50,16.30,1.60,0.30,12.50,28.40,12.30,1.30,13.60,0.1910,5.7000,-1.4000,4.3000,5.4000
1981-1982,"Adrian Dantley*",SF,26,UTA,81,3222,24.20,0.6310,0.0020,0.5160,7.60,9.60,8.60,15.50,1.40,0.20,13.30,27.90,11.90,0.70,12.60,0.1870,5.8000,-1.7000,4.1000,5.0000
1982-1983,"Adrian Dantley*",SF,27,UTA,22,887,24.40,0.6610,0.0000,0.6170,6.90,9.20,8.00,18.80,1.00,0.00,13.70,26.10,3.80,0.50,4.30,0.2320,6.0000,-1.2000,4.8000,1.5000
1983-1984,"Adrian Dantley*",SF,28,UTA,79,2984,24.60,0.6520,0.0030,0.6580,6.70,9.00,7.90,16.20,0.90,0.10,12.40,28.20,13.00,1.60,14.60,0.2350,5.8000,-1.5000,4.2000,4.7000
1984-1985,"Adrian Dantley*",SF,29,UTA,55,1971,21.90,0.6070,0.0000,0.5650,8.00,9.00,8.50,15.20,1.30,0.20,12.40,27.70,5.60,2.30,8.00,0.1940,4.2000,-0.5000,3.8000,2.9000
1985-1986,"Adrian Dantley*",SF,30,UTA,76,2744,24.60,0.6290,0.0080,0.5480,7.20,8.50,7.80,16.70,1.10,0.10,11.40,30.00,10.40,2.30,12.80,0.2230,6.0000,-1.0000,4.9000,4.8000
1981-1982,"Al Wood",SG,23,ATL,19,238,9.10,0.3920,0.0570,0.2670,10.40,10.50,10.50,7.00,1.90,0.30,8.60,23.40,-0.20,0.30,0.00,0.0090,-3.8000,-1.0000,-4.8000,-0.2000
1986-1987,"Al Wood",SG,28,DAL,54,657,13.20,0.4820,0.0810,0.4480,6.50,8.90,7.70,7.20,1.40,0.90,8.40,25.10,0.50,0.50,1.00,0.0760,-1.9000,-1.6000,-3.4000,-0.2000
1981-1982,"Al Wood",SG,23,SDC,29,692,14.60,0.5730,0.0650,0.3300,4.90,10.80,7.70,9.80,1.50,0.70,16.00,22.10,0.80,0.10,0.80,0.0580,0.1000,-1.6000,-1.5000,0.1000
1982-1983,"Al Wood",SF,24,SDC,76,1822,13.00,0.5090,0.0680,0.2180,5.60,9.50,7.40,10.10,1.40,1.20,12.00,19.70,1.90,0.40,2.30,0.0610,-0.1000,-1.6000,-1.7000,0.1000
1983-1984,"Al Wood",SG,25,SEA,81,2236,14.90,0.5450,0.0220,0.2870,4.80,9.20,7.00,11.20,1.40,0.80,10.60,22.10,2.70,1.70,4.40,0.0940,-0.2000,-0.7000,-0.9000,0.6000
1984-1985,"Al Wood",SG,26,SEA,80,2545,14.30,0.5210,0.0310,0.2020,4.50,8.20,6.40,14.70,1.60,1.20,9.40,21.00,2.20,2.10,4.20,0.0800,0.0000,-0.1000,-0.1000,1.2000
1985-1986,"Al Wood",SG,27,SEA,78,1749,13.50,0.4890,0.0450,0.2930,5.30,11.40,8.30,10.30,1.60,0.70,10.40,24.60,0.70,1.80,2.50,0.0680,-0.8000,-0.7000,-1.5000,0.2000
1981-1982,"Al Wood",SG,23,TOT,48,930,13.20,0.5240,0.0630,0.3120,6.30,10.70,8.40,9.10,1.60,0.60,14.10,22.50,0.50,0.40,0.90,0.0460,-0.9000,-1.5000,-2.4000,-0.1000
1981-1982,"Alan Hardy",SG,24,DET,38,310,10.50,0.4770,0.0370,0.2130,4.80,7.30,6.00,9.20,1.30,0.70,11.90,21.30,0.00,0.20,0.20,0.0280,-2.7000,-1.0000,-3.7000,-0.1000
1980-1981,"Alan Hardy",SG,23,LAL,22,111,7.50,0.4020,0.0000,0.1690,8.30,10.10,9.30,3.60,0.40,4.30,14.80,26.90,-0.30,0.10,-0.20,-0.0720,-5.1000,-1.2000,-6.3000,-0.2000
1981-1982,"Albert King",SF,22,NJN,76,1694,13.50,0.5170,0.0160,0.2110,6.90,14.00,10.40,12.80,1.80,1.20,16.90,25.10,-0.20,2.60,2.40,0.0670,-1.9000,0.2000,-1.7000,0.1000
1982-1983,"Albert King",SF,23,NJN,79,2447,15.60,0.5080,0.0190,0.1850,7.30,13.60,10.50,18.20,1.80,1.00,15.60,25.20,1.70,3.90,5.70,0.1120,0.3000,0.3000,0.5000,1.6000
