,PTS,TRB,AST,STL,BLK,PER,TS%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
PTS,1.0,0.4442457282997009,0.33991157111268006,0.4353414978420452,0.17489297982593435,0.8507036918816506,0.4230691504561944,0.776082018755197,0.7291700357529035,0.4644695404007881,0.7236502887165177,0.5782924114463239,0.7716661802992969,-0.0960604264258177,0.6242513705921754,0.6874156104864849
TRB,0.4442457282997009,1.0,-0.17545795314551066,0.01270055592154647,0.6133009748273304,0.3861952412139447,0.27461717298143434,0.11841903491924623,0.3045743495846908,0.6035420035536406,0.4519193545019945,0.3522579856331256,0.1860005891312174,0.10583825242092612,0.20904641885252337,0.2712670348080846
AST,0.33991157111268006,-0.17545795314551066,1.0,0.7053883687634814,-0.26858125383382714,0.4447044072819391,0.14355658803374965,0.1219331492566742,0.46701316802100545,0.2252047463225932,0.436373369763719,0.34591309256946506,0.5640638513926411,0.18145463083253427,0.5721643498200316,0.5780414453754504
STL,0.4353414978420452,0.01270055592154647,0.7053883687634814,1.0,-0.06911903580191837,0.5409770430922654,0.10752816955009593,0.24555027721739053,0.48157797833832006,0.4558234480145575,0.5310020047794933,0.3961252501109395,0.5380073531834292,0.46639474014038634,0.6791320811278064,0.7054107178627338
BLK,0.17489297982593435,0.6133009748273304,-0.26858125383382714,-0.06911903580191837,1.0,0.17491844753000008,0.11478509020384205,-0.010350066488102038,0.02633741895933464,0.4305870611000384,0.17707238029835587,0.15040867371671876,-0.05918103632150447,0.4105482484987292,0.13538493116736894,0.1368906440062279
PER,0.8507036918816506,0.3861952412139447,0.4447044072819391,0.5409770430922654,0.17491844753000008,1.0,0.6114470245197615,0.6324550789867689,0.8394498097236224,0.5129931671067421,0.8241282811220411,0.8160552404756324,0.9191345576521249,0.1252746260545548,0.853935750472468,0.83467590878328
TS%,0.4230691504561944,0.27461717298143434,0.14355658803374965,0.10752816955009593,0.11478509020384205,0.6114470245197615,1.0,0.09763531516337674,0.6815345747714655,0.26257056256985795,0.6129899601913863,0.7641778731699895,0.6247847752207296,0.07258009725457855,0.576562767399412,0.5072902253981647
USG%,0.776082018755197,0.11841903491924623,0.1219331492566742,0.24555027721739053,-0.010350066488102038,0.6324550789867689,0.09763531516337674,1.0,0.3373437280345328,0.1427751044363025,0.3092532360643576,0.18467854378652207,0.4974482178706507,-0.28659830327161273,0.29799190754736343,0.35209301690222716
OWS,0.7291700357529035,0.3045743495846908,0.46701316802100545,0.48157797833832006,0.02633741895933464,0.8394498097236224,0.6815345747714655,0.3373437280345328,1.0,0.5243589862273086,0.9498905940675869,0.8839572995193616,0.8783837590260358,0.14260563850911942,0.8277440978046795,0.892607548455505
DWS,0.4644695404007881,0.6035420035536406,0.2252047463225932,0.4558234480145575,0.4305870611000384,0.5129931671067421,0.26257056256985795,0.1427751044363025,0.5243589862273086,1.0,0.7639413725731997,0.5996762889827455,0.3957380569742342,0.5400973924593824,0.5895064947402564,0.6608330911816933
WS,0.7236502887165177,0.4519193545019945,0.436373369763719,0.5310020047794933,0.17707238029835587,0.8241282811220411,0.6129899601913863,0.3092532360643576,0.9498905940675869,0.7639413725731997,1.0,0.8892588608238495,0.8107911038468821,0.30478812758166357,0.8427938538753948,0.9180924944026905
WS/48,0.5782924114463239,0.3522579856331256,0.34591309256946506,0.3961252501109395,0.15040867371671876,0.8160552404756324,0.7641778731699895,0.18467854378652207,0.8839572995193616,0.5996762889827455,0.8892588608238495,1.0,0.8288879111917186,0.33243154554583876,0.8724295594941505,0.8153047106738517
OBPM,0.7716661802992969,0.1860005891312174,0.5640638513926411,0.5380073531834292,-0.05918103632150447,0.9191345576521249,0.6247847752207296,0.4974482178706507,0.8783837590260358,0.3957380569742342,0.8107911038468821,0.8288879111917186,1.0,0.04881476660501229,0.8895557859190776,0.8410659927714033
DBPM,-0.0960604264258177,0.10583825242092612,0.18145463083253427,0.46639474014038634,0.4105482484987292,0.1252746260545548,0.07258009725457855,-0.28659830327161273,0.14260563850911942,0.5400973924593824,0.30478812758166357,0.33243154554583876,0.04881476660501229,1.0,0.49936412691533044,0.4351134939775607
BPM,0.6242513705921754,0.20904641885252337,0.5721643498200316,0.6791320811278064,0.13538493116736894,0.853935750472468,0.576562767399412,0.29799190754736343,0.8277440978046795,0.5895064947402564,0.8427938538753948,0.8724295594941505,0.8895557859190776,0.49936412691533044,1.0,0.9278727766279086
VORP,0.6874156104864849,0.2712670348080846,0.5780414453754504,0.7054107178627338,0.1368906440062279,0.83467590878328,0.5072902253981647,0.35209301690222716,0.892607548455505,0.6608330911816933,0.9180924944026905,0.8153047106738517,0.8410659927714033,0.4351134939775607,0.9278727766279086,1.0
