"Player","Seasons","Teams","PTS","TRB","AST","STL","BLK","PER","TS%","USG%","OWS","DWS","WS","WS/48","OBPM","DBPM","BPM","VORP"
"Michael Jordan*",5,1,33.28,6.42,6.14,2.84,1.08,29.92,0.5954,33.6,13.34,4.42,18.18,0.269,8.1,2.72,10.84,10.5
"Larry Bird*",9,1,25.4111111111111,10.1333333333333,6.47777777777778,1.77777777777778,0.866666666666667,24.3333333333333,0.569888888888889,26.9333333333333,8.31111111111111,5.01111111111111,13.5666666666667,0.214111111111111,5.61111111111111,1.83333333333333,7.44444444444444,7.26666666666667
"Charles Barkley*",6,1,22.7166666666667,11.9833333333333,3.65,1.66666666666667,1.13333333333333,24.5833333333333,0.642833333333333,23.4333333333333,9.5,3.56666666666667,13.4,0.218666666666667,5.26666666666667,0.85,6.1,6.06666666666667
"Magic Johnson*",10,1,20,7.32,11.53,2.04,0.43,24.5,0.608,22.38,9.07,3.41,12.62,0.2275,6.08,1.66,7.75,6.55
"Moses Malone*",10,4,23.8,12.74,1.51,0.88,1.39,22.82,0.5702,26.65,7.32,3.87,11.15,0.185,3.44,-1.43,2.03,2.96
"Hakeem Olajuwon*",6,1,23.2333333333333,12.4,2.18333333333333,1.98333333333333,3.36666666666667,23.6333333333333,0.554333333333333,26.45,4.5,5.21666666666667,10.8166666666667,0.1825,2.4,2.23333333333333,4.6,4.78333333333333
"Karl Malone*",5,1,24.88,10.62,2.54,1.46,0.66,20.8,0.5652,28.62,4.5,4.84,10,0.1564,1.96,0.4,2.34,3.44
"John Stockton*",6,1,11.7,2.3,10.4333333333333,2.38333333333333,0.166666666666667,19.8833333333333,0.594166666666667,17.1,6.08333333333333,3.55,9.96666666666667,0.188666666666667,2.9,2.65,5.55,5.01666666666667
"Kevin McHale*",10,1,18.93,7.72,1.85,0.38,1.81,20.12,0.6084,22.07,6.7,3.02,9.84,0.1861,2.44,0.22,2.65,3.03
"Robert Parish*",10,1,17.69,10.34,1.78,0.81,1.64,20.21,0.5919,21.8,5.24,4.1,9.43,0.1741,2.12,0.35,2.47,2.9
"Dominique Wilkins*",8,1,26.175,6.7375,2.45,1.475,0.7125,21.7,0.53325,30.4625,6.2,3.175,9.3375,0.15175,4.125,-0.75,3.3875,4.025
"Julius Erving*",7,1,21.1,6.18571428571429,3.65714285714286,1.71428571428571,1.6,21.6285714285714,0.557571428571429,26.1857142857143,5.48571428571429,3.82857142857143,9.3,0.171857142857143,3.8,1.18571428571429,4.98571428571429,4.58571428571429
"Sidney Moncrief*",9,1,17.0888888888889,4.84444444444444,4.03333333333333,1.23333333333333,0.322222222222222,18.6777777777778,0.591,20.7333333333333,6.38888888888889,2.9,9.3,0.186111111111111,3.24444444444444,0.422222222222222,3.66666666666667,3.5
"Clyde Drexler*",7,1,20.3714285714286,6.02857142857143,5.68571428571429,2.25714285714286,0.685714285714286,20.5857142857143,0.540285714285714,24.8285714285714,5.71428571428571,3.14285714285714,9.18571428571429,0.159714285714286,3.55714285714286,1.41428571428571,4.95714285714286,4.9
"Kareem Abdul-Jabbar*",9,1,20.1111111111111,7.22222222222222,2.61111111111111,0.7,1.86666666666667,20.6666666666667,0.595555555555556,24.0111111111111,5.95555555555556,3.22222222222222,9.16666666666667,0.170222222222222,2.55555555555556,0.611111111111111,3.17777777777778,3.48888888888889
