"Player","Pos","Age","Tm","G","MP","PTS","TRB","AST","STL","BLK","TOV","FG%","3P%","2P%","eFG%","FT%","Season","PER","TS%","USG%","OWS","DWS","WS","WS/48","OBPM","DBPM","BPM","VORP"
"Kareem Abdul-Jabbar*","C",33,"LAL",80,37.2,26.2,10.3,3.4,0.7,2.9,3.1,0.574,NA,0.574,0.574,0.766,"1980-1981",25.5,0.616,26.3,9.6,4.6,14.3,0.23,4.7,1.4,6.1,6.1
"Alvan Adams","C",26,"PHO",75,27.4,14.9,7.3,4.6,1.4,0.9,3,0.526,NA,0.526,0.526,0.768,"1980-1981",20.3,0.567,23,3.3,4.5,7.7,0.18,2.5,2.6,5.1,3.7
"Tiny Archibald*","PG",32,"BOS",80,35.3,13.8,2.2,7.7,0.9,0.2,3.3,0.499,0,0.505,0.499,0.816,"1980-1981",14.3,0.582,17.5,4.6,2.3,6.9,0.118,0.9,-1,-0.1,1.4
"James Bailey","PF",23,"SEA",82,31,14,7.4,1.2,0.9,1.7,2.7,0.499,NA,0.499,0.5,0.709,"1980-1981",14.5,0.546,20.3,1.4,3.6,4.9,0.094,-1.7,0.6,-1.1,0.6
"Greg Ballard","SF",26,"WSB",82,31.8,15.5,7.1,2.4,1.4,0.5,1.4,0.463,0.219,0.47,0.466,0.847,"1980-1981",16.7,0.5,21.4,2.8,4.1,6.9,0.127,0.8,1.4,2.2,2.8
"Mike Bantom","SF",29,"IND",76,31.3,14,5.6,3.2,1.1,1.1,2.6,0.489,0,0.492,0.489,0.708,"1980-1981",14.5,0.528,20.3,1.8,2.5,4.4,0.088,-0.2,0.1,-0.1,1.2
"Billy Ray Bates","SG",24,"POR",77,20.3,13.8,2,2.5,1.1,0.1,1.9,0.487,0.259,0.501,0.494,0.854,"1980-1981",19.3,0.537,28.9,2.4,1.2,3.6,0.111,2.3,-0.9,1.3,1.3
"Kent Benson","C",26,"DET",59,33.2,15.7,6.8,2.9,1.2,1.1,3.2,0.473,0,0.475,0.473,0.772,"1980-1981",15.1,0.524,22.2,0.6,2.5,3.1,0.075,-0.3,0.4,0.1,1
"Henry Bibby","PG",31,"SDC",73,15.2,4.6,1,2.7,0.6,0,1,0.386,0.337,0.408,0.438,0.684,"1980-1981",10.6,0.48,15.6,0.5,0.5,1,0.043,-1,-0.9,-1.9,0
"Larry Bird*","PF",24,"BOS",82,39.5,21.2,10.9,5.5,2,0.8,3.5,0.478,0.27,0.489,0.485,0.863,"1980-1981",19.9,0.528,24.3,4.7,6.1,10.8,0.16,2.5,1.8,4.3,5.2
"Otis Birdsong","SG",25,"KCK",71,36.5,24.6,3.6,3.3,1.3,0.3,2.4,0.544,0.286,0.551,0.547,0.697,"1980-1981",20.3,0.58,26.8,6.2,2,8.2,0.152,3.3,-0.8,2.4,2.9
"Ron Boone","SG",34,"UTA",52,22,7.8,1.6,3.1,0.6,0.2,2.1,0.431,0.282,0.449,0.446,0.798,"1980-1981",9,0.492,19.7,-0.8,0.2,-0.6,-0.025,-3.2,-2.1,-5.2,-0.9
"Winford Boynes","SG",23,"DAL",44,17.2,6.5,1.7,0.8,0.5,0.4,1.6,0.387,NA,0.387,0.387,0.818,"1980-1981",6.1,0.426,22.4,-1.6,0.2,-1.4,-0.091,-5.3,-2,-7.3,-1
"Dudley Bradley","SG",23,"IND",82,22.8,8,2.4,2.3,2.3,0.5,1.5,0.474,0.125,0.484,0.476,0.702,"1980-1981",13.7,0.515,16.3,1,2.9,3.9,0.1,-1.8,3.4,1.6,1.7
"Mike Bratz","PG",25,"CLE",80,32.4,10,2.5,5.7,1.7,0.2,2,0.39,0.337,0.404,0.425,0.811,"1980-1981",11.5,0.458,16.1,0.7,1.4,2.1,0.038,-1.2,0,-1.2,0.5
"Ron Brewer","SG",25,"TOT",75,19.4,8.6,1.1,2,0.8,0.5,1.2,0.436,0.143,0.439,0.437,0.798,"1980-1981",12,0.471,21.1,0.4,1,1.4,0.046,-1.4,-0.8,-2.2,-0.1
"Ron Brewer","SG",25,"POR",29,18.9,7.5,1.1,1.9,1.2,0.3,1.3,0.386,0.333,0.387,0.388,0.765,"1980-1981",9.5,0.416,21.6,-0.6,0.5,-0.1,-0.011,-3.6,-0.2,-3.9,-0.3
"Ron Brewer","SG",25,"SAS",46,19.7,9.2,1.2,2,0.6,0.5,1.2,0.468,0,0.472,0.468,0.813,"1980-1981",13.5,0.506,20.8,1,0.5,1.5,0.08,0,-1.1,-1.1,0.2
"Junior Bridgeman","SF",27,"MIL",77,28.8,16.8,3.8,3,1.1,0.4,1.9,0.487,0.143,0.494,0.489,0.884,"1980-1981",17.1,0.534,24,3.9,2.8,6.7,0.146,1.3,-0.2,1.1,1.7
