Player,Pos,Age,Tm,G,MP,PTS,TRB,AST,STL,BLK,TOV,FG%,3P%,2P%,eFG%,FT%,Season,PER,TS%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
Mark Acres,C,27,ORL,80,21.1,4.5,5.4,0.8,0.5,0.3,0.9,0.484,0.75,0.48,0.489,0.692,1989-1990,8.3,0.536,9.4,1.1,0.6,1.6,0.047,-3.1,-0.6,-3.7,-0.7
Michael Adams,PG,27,DEN,79,34.1,15.5,2.8,6.3,1.5,0.0,1.8,0.402,0.366,0.431,0.482,0.85,1989-1990,15.4,0.542,18.5,4.4,2.5,6.9,0.124,1.8,-0.1,1.8,2.6
Mark Aguirre,SF,30,DET,78,25.7,14.1,3.9,1.9,0.4,0.2,1.6,0.488,0.333,0.506,0.505,0.756,1989-1990,15.8,0.544,24.3,3.1,2.5,5.7,0.136,1.0,0.0,1.0,1.5
Danny Ainge,PG,30,SAC,75,36.4,17.9,4.3,6.0,1.5,0.2,2.5,0.438,0.374,0.46,0.485,0.831,1989-1990,16.1,0.528,23.0,2.7,2.1,4.8,0.085,1.2,-0.1,1.1,2.1
Mark Alarie,PF,26,WSB,82,23.1,10.5,4.6,1.7,0.7,0.5,1.2,0.473,0.204,0.49,0.479,0.812,1989-1990,14.1,0.51,20.4,1.5,2.1,3.1,0.079,-0.6,-0.7,-1.3,0.3
Greg Anderson,PF,25,MIL,60,21.5,8.8,6.2,0.4,0.5,0.9,1.3,0.507,,0.507,0.507,0.535,1989-1990,13.0,0.522,19.1,0.2,2.1,2.0,0.073,-2.8,-0.9,-3.8,-0.6
Nick Anderson,SG,22,ORL,81,22.0,11.5,3.9,1.5,0.9,0.4,1.7,0.494,0.059,0.504,0.495,0.705,1989-1990,14.9,0.536,22.1,1.2,2.1,1.8,0.049,0.0,-1.0,-1.0,0.5
Ron Anderson,SF,31,PHI,78,26.8,11.9,3.8,1.8,0.9,0.2,1.0,0.451,0.143,0.459,0.452,0.838,1989-1990,13.9,0.499,20.4,2.0,2.1,3.8,0.086,-0.8,-0.5,-1.4,0.3
Willie Anderson,SG,23,SAS,82,34.0,15.7,4.5,4.4,1.4,0.7,2.4,0.492,0.269,0.497,0.495,0.748,1989-1990,15.2,0.532,20.9,2.8,2.1,6.5,0.111,0.5,0.9,1.3,2.4
Michael Ansley,SF,22,ORL,72,17.0,8.7,5.0,0.6,0.3,0.2,0.7,0.497,,0.497,0.497,0.722,1989-1990,17.3,0.554,19.7,3.0,2.1,3.3,0.129,1.2,-2.5,-1.3,0.2
B.J. Armstrong,PG,22,CHI,81,15.9,5.6,1.3,2.5,0.6,0.1,1.0,0.485,0.5,0.484,0.489,0.885,1989-1990,11.9,0.53,16.9,1.0,2.1,1.7,0.064,-1.7,-1.1,-2.8,-0.3
John Bagley,PG,29,BOS,54,20.3,4.3,1.6,5.5,0.7,0.1,1.7,0.459,0.056,0.495,0.461,0.744,1989-1990,10.8,0.489,12.5,0.3,2.1,1.1,0.047,-1.0,-0.6,-1.6,0.1
Thurl Bailey,SF,28,UTA,82,31.5,14.2,5.0,1.7,0.4,1.2,1.7,0.481,0.0,0.485,0.481,0.779,1989-1990,13.4,0.527,21.0,1.7,2.1,4.6,0.085,-0.6,-0.6,-1.2,0.5
Charles Barkley*,SF,26,PHI,79,39.1,25.2,11.5,3.9,1.9,0.6,3.1,0.6,0.217,0.632,0.608,0.749,1989-1990,27.1,0.661,24.0,13.1,2.1,17.3,0.269,7.2,1.0,8.2,8.0
Dana Barros,PG,22,SEA,81,20.1,9.7,1.6,2.5,0.7,0.0,1.5,0.405,0.399,0.408,0.47,0.809,1989-1990,12.8,0.497,23.3,1.1,2.1,1.8,0.053,0.8,-1.4,-0.6,0.6
John Battle,SG,27,ATL,60,24.6,10.9,1.7,2.6,0.5,0.1,1.5,0.506,0.154,0.514,0.507,0.756,1989-1990,12.6,0.542,19.7,1.7,2.1,1.7,0.055,-0.8,-2.3,-3.1,-0.4
Benoit Benjamin,C,25,LAC,71,32.6,13.5,9.3,2.2,0.8,2.6,2.6,0.526,,0.527,0.526,0.732,1989-1990,16.7,0.578,18.4,1.7,2.1,5.4,0.113,-0.5,2.1,1.6,2.1
Winston Bennett,SF,24,CLE,55,18.0,6.1,3.4,1.0,0.4,0.2,1.1,0.479,,0.479,0.479,0.667,1989-1990,10.0,0.515,17.1,0.2,2.1,1.1,0.055,-3.4,-0.8,-4.2,-0.6
Larry Bird*,SF,33,BOS,75,39.3,24.3,9.5,7.5,1.4,0.8,3.2,0.473,0.333,0.494,0.495,0.93,1989-1990,21.9,0.546,27.4,5.3,2.1,9.5,0.154,4.1,1.2,5.3,5.5
Rolando Blackman,SG,30,DAL,80,36.7,19.4,3.5,3.6,1.0,0.3,2.2,0.498,0.302,0.505,0.504,0.844,1989-1990,17.0,0.552,23.6,4.6,2.1,6.8,0.111,1.6,-0.6,0.9,2.2
Mookie Blaylock,PG,22,NJN,50,25.3,10.1,2.8,4.2,1.6,0.3,2.2,0.371,0.225,0.395,0.387,0.778,1989-1990,11.5,0.416,22.8,-1.6,2.1,-0.3,-0.011,-2.4,0.4,-2.0,0.0
Muggsy Bogues,PG,25,CHH,81,33.9,9.4,2.6,10.7,2.0,0.0,1.8,0.491,0.192,0.503,0.495,0.791,1989-1990,16.9,0.528,13.5,4.6,2.1,6.7,0.117,1.5,0.7,2.2,2.9
