"Player","Tm","Season","BPM"
"Magic Johnson*","LAL","1980-1981",8.8
"Julius Erving*","PHI","1980-1981",7.5
"Kareem Abdul-Jabbar*","LAL","1980-1981",6.1
"Marques Johnson","MIL","1980-1981",5.6
"Robert Parish*","BOS","1980-1981",5.4
"Alvan Adams","PHO","1980-1981",5.1
"Bobby Jones*","PHI","1980-1981",4.7
"Larry Bird*","BOS","1980-1981",4.3
"Adrian Dantley*","UTA","1980-1981",4.3
"Artis Gilmore*","CHI","1980-1981",4.3
"Julius Erving*","PHI","1981-1982",7.7
"Magic Johnson*","LAL","1981-1982",7.2
"Larry Bird*","BOS","1981-1982",6.6
"Gus Williams","SEA","1981-1982",5.1
"Kareem Abdul-Jabbar*","LAL","1981-1982",5
"Sidney Moncrief*","MIL","1981-1982",4.8
"Moses Malone*","HOU","1981-1982",4.5
"Artis Gilmore*","CHI","1981-1982",4.3
"Maurice Cheeks*","PHI","1981-1982",4.2
"Adrian Dantley*","UTA","1981-1982",4.1
"Larry Bird*","BOS","1982-1983",7.5
"Magic Johnson*","LAL","1982-1983",7.2
"Julius Erving*","PHI","1982-1983",6.5
"Sidney Moncrief*","MIL","1982-1983",5.4
"Adrian Dantley*","UTA","1982-1983",4.8
"Maurice Cheeks*","PHI","1982-1983",4.7
"Alex English*","DEN","1982-1983",4.6
"Kareem Abdul-Jabbar*","LAL","1982-1983",4.5
"Marques Johnson","MIL","1982-1983",4.5
"Robert Parish*","BOS","1982-1983",4.3
"Larry Bird*","BOS","1983-1984",7.6
"Magic Johnson*","LAL","1983-1984",6.6
"Julius Erving*","PHI","1983-1984",5.9
"Isiah Thomas*","DET","1983-1984",4.8
"Bobby Jones*","PHI","1983-1984",4.6
"Bernard King*","NYK","1983-1984",4.5
"Adrian Dantley*","UTA","1983-1984",4.2
"Sidney Moncrief*","MIL","1983-1984",4.1
"Mark Aguirre","DAL","1983-1984",3.7
"Marques Johnson","MIL","1983-1984",3.6
"Larry Bird*","BOS","1984-1985",8.8
"Michael Jordan*","CHI","1984-1985",7.3
"Magic Johnson*","LAL","1984-1985",6.7
"Isiah Thomas*","DET","1984-1985",6.3
"Kareem Abdul-Jabbar*","LAL","1984-1985",5.1
"Bernard King*","NYK","1984-1985",5.1
"Sidney Moncrief*","MIL","1984-1985",4.8
"Larry Nance","PHO","1984-1985",4.4
"Jack Sikma*","SEA","1984-1985",4.4
"Terry Cummings","MIL","1984-1985",4.3
"Larry Bird*","BOS","1985-1986",8.7
"Magic Johnson*","LAL","1985-1986",6.7
"Paul Pressey","MIL","1985-1986",5.7
"Kareem Abdul-Jabbar*","LAL","1985-1986",5.4
"Charles Barkley*","PHI","1985-1986",5.1
"Isiah Thomas*","DET","1985-1986",5
"Adrian Dantley*","UTA","1985-1986",4.9
"Sidney Moncrief*","MIL","1985-1986",4.9
"Alvin Robertson","SAS","1985-1986",4.7
"Kevin McHale*","BOS","1985-1986",4.4
"Michael Jordan*","CHI","1986-1987",10.8
"Larry Bird*","BOS","1986-1987",9.4
"Magic Johnson*","LAL","1986-1987",8.8
"Charles Barkley*","PHI","1986-1987",6.7
"Doc Rivers","ATL","1986-1987",6
"Hakeem Olajuwon*","HOU","1986-1987",5.8
"Dominique Wilkins*","ATL","1986-1987",5.5
"John Stockton*","UTA","1986-1987",5.3
"Derek Harper","DAL","1986-1987",5.2
"Kevin McHale*","BOS","1986-1987",5.1
"Michael Jordan*","CHI","1987-1988",13
"Larry Bird*","BOS","1987-1988",8.8
"John Stockton*","UTA","1987-1988",8.5
"Charles Barkley*","PHI","1987-1988",7.4
"Clyde Drexler*","POR","1987-1988",7
"Magic Johnson*","LAL","1987-1988",6
"Fat Lever","DEN","1987-1988",5.1
"Doc Rivers","ATL","1987-1988",4.9
"Hakeem Olajuwon*","HOU","1987-1988",4.4
"Larry Nance","CLE","1987-1988",4.3
"Michael Jordan*","CHI","1988-1989",11.9
"Magic Johnson*","LAL","1988-1989",9.4
"John Stockton*","UTA","1988-1989",8.3
"Charles Barkley*","PHI","1988-1989",7.5
"Clyde Drexler*","POR","1988-1989",6.5
"Hakeem Olajuwon*","HOU","1988-1989",5.5
"Karl Malone*","UTA","1988-1989",5.4
"Fat Lever","DEN","1988-1989",5.2
"Doc Rivers","ATL","1988-1989",4.8
"Ron Harper","CLE","1988-1989",4.7
"Michael Jordan*","CHI","1989-1990",11.2
"Magic Johnson*","LAL","1989-1990",10.1
"John Stockton*","UTA","1989-1990",8.9
"Charles Barkley*","PHI","1989-1990",8.2
"Clyde Drexler*","POR","1989-1990",7.3
"David Robinson*","SAS","1989-1990",6.9
"Karl Malone*","UTA","1989-1990",6.4
"Hakeem Olajuwon*","HOU","1989-1990",5.8
"Terry Porter","POR","1989-1990",5.8
"Patrick Ewing*","NYK","1989-1990",5.5
