"Player","Tm","Season","BPM"
"Michael Jordan*","CHI","1987-1988",13
"Michael Jordan*","CHI","1988-1989",11.9
"Michael Jordan*","CHI","1989-1990",11.2
"Michael Jordan*","CHI","1986-1987",10.8
"Magic Johnson*","LAL","1989-1990",10.1
"Larry Bird*","BOS","1986-1987",9.4
"Magic Johnson*","LAL","1988-1989",9.4
"John Stockton*","UTA","1989-1990",8.9
"Magic Johnson*","LAL","1980-1981",8.8
"Larry Bird*","BOS","1984-1985",8.8
"Magic Johnson*","LAL","1986-1987",8.8
"Larry Bird*","BOS","1987-1988",8.8
"Larry Bird*","BOS","1985-1986",8.7
"John Stockton*","UTA","1987-1988",8.5
"John Stockton*","UTA","1988-1989",8.3
"Charles Barkley*","PHI","1989-1990",8.2
"Julius Erving*","PHI","1981-1982",7.7
"Larry Bird*","BOS","1983-1984",7.6
"Julius Erving*","PHI","1980-1981",7.5
"Larry Bird*","BOS","1982-1983",7.5
"Charles Barkley*","PHI","1988-1989",7.5
"Charles Barkley*","PHI","1987-1988",7.4
"Michael Jordan*","CHI","1984-1985",7.3
"Clyde Drexler*","POR","1989-1990",7.3
"Magic Johnson*","LAL","1981-1982",7.2
"Magic Johnson*","LAL","1982-1983",7.2
"Clyde Drexler*","POR","1987-1988",7
"David Robinson*","SAS","1989-1990",6.9
"Magic Johnson*","LAL","1984-1985",6.7
"Magic Johnson*","LAL","1985-1986",6.7
