"Player","Tm","Season","DWS"
"Hakeem Olajuwon*","HOU","1988-1989",7.8
"Jack Sikma*","SEA","1981-1982",6.7
"Mark Eaton","UTA","1984-1985",6.7
"Karl Malone*","UTA","1988-1989",6.6
"Mark Eaton","UTA","1988-1989",6.5
"Hakeem Olajuwon*","HOU","1987-1988",6.3
"Rick Mahorn","WSB","1982-1983",6.2
"Larry Bird*","BOS","1985-1986",6.2
"Larry Bird*","BOS","1980-1981",6.1
"Julius Erving*","PHI","1980-1981",6.1
"Michael Jordan*","CHI","1987-1988",6.1
"Karl Malone*","UTA","1987-1988",6.1
"Moses Malone*","PHI","1982-1983",6
"Hakeem Olajuwon*","HOU","1986-1987",6
"Buck Williams","NJN","1982-1983",5.9
"John Stockton*","UTA","1988-1989",5.8
"Larry Bird*","BOS","1981-1982",5.7
"Larry Bird*","BOS","1982-1983",5.6
"Larry Nance","PHO","1982-1983",5.6
"Larry Bird*","BOS","1983-1984",5.6
"Jeff Ruland","WSB","1982-1983",5.5
"Charles Barkley*","PHI","1985-1986",5.5
"Caldwell Jones","PHI","1980-1981",5.4
"Truck Robinson","PHO","1980-1981",5.3
"Greg Ballard","WSB","1981-1982",5.3
"Buck Williams","NJN","1981-1982",5.3
"Larry Bird*","BOS","1984-1985",5.2
"Mark Eaton","UTA","1987-1988",5.2
"Michael Jordan*","CHI","1988-1989",5.2
"Rick Mahorn","WSB","1981-1982",5.1
