"Player","Tm","Season","PER"
"Michael Jordan*","CHI","1987-1988",31.7
"Michael Jordan*","CHI","1989-1990",31.2
"Michael Jordan*","CHI","1988-1989",31.1
"Michael Jordan*","CHI","1986-1987",29.8
"Larry Bird*","BOS","1987-1988",27.8
"Charles Barkley*","PHI","1987-1988",27.6
"Karl Malone*","UTA","1989-1990",27.2
"Charles Barkley*","PHI","1989-1990",27.1
"Magic Johnson*","LAL","1986-1987",27
"Charles Barkley*","PHI","1988-1989",27
"Magic Johnson*","LAL","1988-1989",26.9
"Moses Malone*","HOU","1981-1982",26.8
"Magic Johnson*","LAL","1989-1990",26.6
"Larry Bird*","BOS","1984-1985",26.5
"Larry Bird*","BOS","1986-1987",26.4
"David Robinson*","SAS","1989-1990",26.3
"Julius Erving*","PHI","1981-1982",25.9
"Michael Jordan*","CHI","1984-1985",25.8
"Patrick Ewing*","NYK","1989-1990",25.8
"Magic Johnson*","LAL","1980-1981",25.7
"Larry Bird*","BOS","1985-1986",25.6
"Kareem Abdul-Jabbar*","LAL","1980-1981",25.5
"Robert Parish*","BOS","1980-1981",25.2
"Bernard King*","NYK","1984-1985",25.2
"Hakeem Olajuwon*","HOU","1988-1989",25.2
"Julius Erving*","PHI","1980-1981",25.1
"Moses Malone*","HOU","1980-1981",25.1
"Moses Malone*","PHI","1982-1983",25.1
"Charles Barkley*","PHI","1986-1987",25.1
"Adrian Dantley*","UTA","1983-1984",24.6
