"Player","Tm","Season","VORP"
"Michael Jordan*","CHI","1987-1988",12.5
"Michael Jordan*","CHI","1988-1989",11.4
"Michael Jordan*","CHI","1986-1987",10.6
"Michael Jordan*","CHI","1989-1990",10.6
"Magic Johnson*","LAL","1989-1990",8.9
"Larry Bird*","BOS","1984-1985",8.7
"Larry Bird*","BOS","1986-1987",8.6
"Larry Bird*","BOS","1985-1986",8.4
"Magic Johnson*","LAL","1988-1989",8.3
"John Stockton*","UTA","1988-1989",8.3
"Larry Bird*","BOS","1987-1988",8.1
"Magic Johnson*","LAL","1986-1987",8
"Charles Barkley*","PHI","1989-1990",8
"John Stockton*","UTA","1989-1990",8
"John Stockton*","UTA","1987-1988",7.6
"Charles Barkley*","PHI","1987-1988",7.5
"Michael Jordan*","CHI","1984-1985",7.4
"Charles Barkley*","PHI","1988-1989",7.4
"Larry Bird*","BOS","1983-1984",7.3
"Larry Bird*","BOS","1982-1983",7.2
"Magic Johnson*","LAL","1981-1982",7
"Clyde Drexler*","POR","1987-1988",7
"Julius Erving*","PHI","1980-1981",6.9
"Julius Erving*","PHI","1981-1982",6.8
"Magic Johnson*","LAL","1982-1983",6.8
"David Robinson*","SAS","1989-1990",6.8
"Clyde Drexler*","POR","1988-1989",6.6
"Karl Malone*","UTA","1989-1990",6.6
"Isiah Thomas*","DET","1984-1985",6.5
"Larry Bird*","BOS","1981-1982",6.4
