"Player","Tm","Season","VORP"
"Julius Erving*","PHI","1980-1981",6.9
"Kareem Abdul-Jabbar*","LAL","1980-1981",6.1
"Adrian Dantley*","UTA","1980-1981",5.4
"Larry Bird*","BOS","1980-1981",5.2
"Marques Johnson","MIL","1980-1981",4.9
"Artis Gilmore*","CHI","1980-1981",4.5
"Moses Malone*","HOU","1980-1981",4.3
"Robert Parish*","BOS","1980-1981",4.3
"Micheal Ray Richardson","NYK","1980-1981",4.2
"Magic Johnson*","LAL","1980-1981",3.8
"Magic Johnson*","LAL","1981-1982",7
"Julius Erving*","PHI","1981-1982",6.8
"Larry Bird*","BOS","1981-1982",6.4
"Moses Malone*","HOU","1981-1982",5.5
"Gus Williams","SEA","1981-1982",5.2
"Sidney Moncrief*","MIL","1981-1982",5.1
"Adrian Dantley*","UTA","1981-1982",5
"Kareem Abdul-Jabbar*","LAL","1981-1982",4.7
"Jack Sikma*","SEA","1981-1982",4.5
"Alex English*","DEN","1981-1982",4.4
"Larry Bird*","BOS","1982-1983",7.2
"Magic Johnson*","LAL","1982-1983",6.8
"Julius Erving*","PHI","1982-1983",5.2
"Sidney Moncrief*","MIL","1982-1983",5.1
"Alex English*","DEN","1982-1983",5
"Marques Johnson","MIL","1982-1983",4.7
"Gus Williams","SEA","1982-1983",4.3
"Kareem Abdul-Jabbar*","LAL","1982-1983",4.2
"Maurice Cheeks*","PHI","1982-1983",4.2
"Moses Malone*","PHI","1982-1983",4.2
"Larry Bird*","BOS","1983-1984",7.3
"Magic Johnson*","LAL","1983-1984",5.6
"Julius Erving*","PHI","1983-1984",5.3
"Isiah Thomas*","DET","1983-1984",5.1
"Adrian Dantley*","UTA","1983-1984",4.7
"Sidney Moncrief*","MIL","1983-1984",4.7
"Bernard King*","NYK","1983-1984",4.3
"Mark Aguirre","DAL","1983-1984",4.1
"Alex English*","DEN","1983-1984",3.9
"Kiki Vandeweghe","DEN","1983-1984",3.9
"Larry Bird*","BOS","1984-1985",8.7
"Michael Jordan*","CHI","1984-1985",7.4
"Isiah Thomas*","DET","1984-1985",6.5
"Magic Johnson*","LAL","1984-1985",6.1
"Kareem Abdul-Jabbar*","LAL","1984-1985",4.8
"Micheal Ray Richardson","NJN","1984-1985",4.8
"Sidney Moncrief*","MIL","1984-1985",4.7
"Paul Pressey","MIL","1984-1985",4.5
"Terry Cummings","MIL","1984-1985",4.3
"Clyde Drexler*","POR","1984-1985",4.1
"Larry Bird*","BOS","1985-1986",8.4
"Magic Johnson*","LAL","1985-1986",5.7
"Charles Barkley*","PHI","1985-1986",5.3
"Paul Pressey","MIL","1985-1986",5.3
"Kareem Abdul-Jabbar*","LAL","1985-1986",4.9
"Alvin Robertson","SAS","1985-1986",4.9
"Isiah Thomas*","DET","1985-1986",4.9
"Adrian Dantley*","UTA","1985-1986",4.8
"Dominique Wilkins*","ATL","1985-1986",4.8
"Maurice Cheeks*","PHI","1985-1986",4.6
"Michael Jordan*","CHI","1986-1987",10.6
"Larry Bird*","BOS","1986-1987",8.6
"Magic Johnson*","LAL","1986-1987",8
"Charles Barkley*","PHI","1986-1987",6
"Dominique Wilkins*","ATL","1986-1987",5.6
"Kevin McHale*","BOS","1986-1987",5.5
"Clyde Drexler*","POR","1986-1987",5.4
"Fat Lever","DEN","1986-1987",5.4
"Hakeem Olajuwon*","HOU","1986-1987",5.4
"Doc Rivers","ATL","1986-1987",5.3
"Michael Jordan*","CHI","1987-1988",12.5
"Larry Bird*","BOS","1987-1988",8.1
"John Stockton*","UTA","1987-1988",7.6
"Charles Barkley*","PHI","1987-1988",7.5
"Clyde Drexler*","POR","1987-1988",7
"Fat Lever","DEN","1987-1988",5.5
"Magic Johnson*","LAL","1987-1988",5.3
"Dominique Wilkins*","ATL","1987-1988",4.7
"Hakeem Olajuwon*","HOU","1987-1988",4.6
"Doc Rivers","ATL","1987-1988",4.4
"Michael Jordan*","CHI","1988-1989",11.4
"Magic Johnson*","LAL","1988-1989",8.3
"John Stockton*","UTA","1988-1989",8.3
"Charles Barkley*","PHI","1988-1989",7.4
"Clyde Drexler*","POR","1988-1989",6.6
"Karl Malone*","UTA","1988-1989",5.9
"Hakeem Olajuwon*","HOU","1988-1989",5.7
"Kevin Johnson","PHO","1988-1989",5
"Fat Lever","DEN","1988-1989",5
"Patrick Ewing*","NYK","1988-1989",4.8
"Michael Jordan*","CHI","1989-1990",10.6
"Magic Johnson*","LAL","1989-1990",8.9
"Charles Barkley*","PHI","1989-1990",8
"John Stockton*","UTA","1989-1990",8
"David Robinson*","SAS","1989-1990",6.8
"Karl Malone*","UTA","1989-1990",6.6
"Clyde Drexler*","POR","1989-1990",6.3
"Hakeem Olajuwon*","HOU","1989-1990",6.2
"Patrick Ewing*","NYK","1989-1990",6
"Larry Bird*","BOS","1989-1990",5.5
