"Player","Tm","Season","WS"
"Kareem Abdul-Jabbar*","LAL","1980-1981",14.3
"Julius Erving*","PHI","1980-1981",13.8
"Moses Malone*","HOU","1980-1981",13.7
"Adrian Dantley*","UTA","1980-1981",13.6
"Artis Gilmore*","CHI","1980-1981",12.3
"Marques Johnson","MIL","1980-1981",11.2
"Cedric Maxwell","BOS","1980-1981",11
"Robert Parish*","BOS","1980-1981",10.9
"Larry Bird*","BOS","1980-1981",10.8
"George Gervin*","SAS","1980-1981",10.5
"Moses Malone*","HOU","1981-1982",15.4
"Sidney Moncrief*","MIL","1981-1982",13.4
"Julius Erving*","PHI","1981-1982",13.3
"Magic Johnson*","LAL","1981-1982",12.9
"Adrian Dantley*","UTA","1981-1982",12.6
"Jack Sikma*","SEA","1981-1982",12.6
"Larry Bird*","BOS","1981-1982",12.5
"Artis Gilmore*","CHI","1981-1982",12.1
"Kareem Abdul-Jabbar*","LAL","1981-1982",10.7
"George Gervin*","SAS","1981-1982",10.7
"Moses Malone*","PHI","1982-1983",15.1
"Larry Bird*","BOS","1982-1983",14
"Sidney Moncrief*","MIL","1982-1983",13.2
"Magic Johnson*","LAL","1982-1983",12.5
"Buck Williams","NJN","1982-1983",11.4
"Artis Gilmore*","SAS","1982-1983",11
"Kiki Vandeweghe","DEN","1982-1983",11
"Kareem Abdul-Jabbar*","LAL","1982-1983",10.9
"Julius Erving*","PHI","1982-1983",10.9
"Robert Parish*","BOS","1982-1983",10.8
"Adrian Dantley*","UTA","1983-1984",14.6
"Larry Bird*","BOS","1983-1984",13.6
"Sidney Moncrief*","MIL","1983-1984",12.7
"Bernard King*","NYK","1983-1984",12.1
"Bill Laimbeer","DET","1983-1984",10.8
"Kevin McHale*","BOS","1983-1984",10.5
"Robert Parish*","BOS","1983-1984",10.5
"Kiki Vandeweghe","DEN","1983-1984",10.3
"Magic Johnson*","LAL","1983-1984",10.2
"Julius Erving*","PHI","1983-1984",10.1
"Larry Bird*","BOS","1984-1985",15.7
"Michael Jordan*","CHI","1984-1985",14
"Magic Johnson*","LAL","1984-1985",12.7
"Moses Malone*","PHI","1984-1985",11.9
"Kareem Abdul-Jabbar*","LAL","1984-1985",11.2
"Sidney Moncrief*","MIL","1984-1985",11.2
"Isiah Thomas*","DET","1984-1985",11.2
"Kevin McHale*","BOS","1984-1985",11
"Terry Cummings","MIL","1984-1985",10.7
"Artis Gilmore*","SAS","1984-1985",10.5
"Larry Bird*","BOS","1985-1986",15.8
"Adrian Dantley*","UTA","1985-1986",12.8
"Magic Johnson*","LAL","1985-1986",12.1
"Sidney Moncrief*","MIL","1985-1986",11.7
"Kevin McHale*","BOS","1985-1986",11
"Kareem Abdul-Jabbar*","LAL","1985-1986",10.8
"Charles Barkley*","PHI","1985-1986",10.8
"Dominique Wilkins*","ATL","1985-1986",10.8
"Maurice Cheeks*","PHI","1985-1986",10.6
"Kiki Vandeweghe","POR","1985-1986",9.9
"Michael Jordan*","CHI","1986-1987",16.9
"Magic Johnson*","LAL","1986-1987",15.9
"Larry Bird*","BOS","1986-1987",15.2
"Kevin McHale*","BOS","1986-1987",14.8
"Dominique Wilkins*","ATL","1986-1987",12.2
"Charles Barkley*","PHI","1986-1987",12
"Hakeem Olajuwon*","HOU","1986-1987",10.9
"Kiki Vandeweghe","POR","1986-1987",10.8
"Bill Laimbeer","DET","1986-1987",10.5
"James Donaldson","DAL","1986-1987",10.4
"Michael Jordan*","CHI","1987-1988",21.2
"Charles Barkley*","PHI","1987-1988",16.7
"Larry Bird*","BOS","1987-1988",15
"John Stockton*","UTA","1987-1988",14.1
"Clyde Drexler*","POR","1987-1988",13.2
"Magic Johnson*","LAL","1987-1988",10.9
"Hakeem Olajuwon*","HOU","1987-1988",10.7
"Byron Scott","LAL","1987-1988",10.7
"Fat Lever","DEN","1987-1988",10.4
"Kevin McHale*","BOS","1987-1988",10.2
"Michael Jordan*","CHI","1988-1989",19.8
"Charles Barkley*","PHI","1988-1989",16.1
"Magic Johnson*","LAL","1988-1989",16.1
"John Stockton*","UTA","1988-1989",15.6
"Karl Malone*","UTA","1988-1989",15.2
"Clyde Drexler*","POR","1988-1989",12.6
"Hakeem Olajuwon*","HOU","1988-1989",12.4
"Kevin Johnson","PHO","1988-1989",12.2
"Mark Price","CLE","1988-1989",11.3
"Patrick Ewing*","NYK","1988-1989",10.9
"Michael Jordan*","CHI","1989-1990",19
"Charles Barkley*","PHI","1989-1990",17.3
"Magic Johnson*","LAL","1989-1990",16.5
"Karl Malone*","UTA","1989-1990",15.9
"David Robinson*","SAS","1989-1990",15.1
"John Stockton*","UTA","1989-1990",14.4
"Patrick Ewing*","NYK","1989-1990",13.5
"Reggie Miller*","IND","1989-1990",12.1
"Terry Porter","POR","1989-1990",11.7
"Clyde Drexler*","POR","1989-1990",11.6
