,PTS,TRB,AST,STL,BLK,PER,TS%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
PTS,1.0,0.43166822518237336,0.30691296228670883,0.47049445876349055,0.18107324092071006,0.8685109476442319,0.5262854868600443,0.7968532468285983,0.7389879054936518,0.09150388913175828,0.7332746249866104,0.6381548191476899,0.8050825834017851,-0.010556940287383935,0.6915848643784323,0.7155835475191823
TRB,0.43166822518237336,1.0,-0.18914495602494838,0.11524855871809665,0.6203229877492612,0.4507365507404495,0.32177291459042695,0.14001769359682867,0.3500441729712429,-0.03050534768381476,0.5089957162571193,0.44250962398368887,0.27889976686950235,0.24972074162361113,0.3410873020925315,0.3812671236468077
AST,0.30691296228670883,-0.18914495602494838,1.0,0.690882299452924,-0.27807491663261297,0.40063835812170173,0.1559446267885024,0.11186032711341971,0.40163561072901094,0.06901193282657098,0.37768649965466145,0.2999781211999858,0.5289909130301775,0.23442544374182833,0.5520964103675643,0.5542384877077029
STL,0.47049445876349055,0.11524855871809665,0.690882299452924,1.0,-0.053023059100959426,0.5315982768804944,0.19274229355957517,0.24902701690644324,0.4012034047370851,0.052177716600204024,0.46637663600859774,0.395048032217854,0.5400408960062351,0.4734682173159271,0.6561650734331368,0.6398232838353284
BLK,0.18107324092071006,0.6203229877492612,-0.27807491663261297,-0.053023059100959426,1.0,0.2416377887141449,0.10772154984474079,0.04625879001356736,0.08320671694374067,0.0021013832748952343,0.2490992290604967,0.21204391391487215,0.0301991361489012,0.4698005148302627,0.21363239497699615,0.23516399680719208
PER,0.8685109476442319,0.4507365507404495,0.40063835812170173,0.5315982768804944,0.2416377887141449,1.0,0.6791473508438693,0.6441201869287777,0.8431907542607853,0.0957774781554029,0.8379607878991328,0.8534481305882382,0.9320880256165165,0.19175831148751038,0.883458019438082,0.8542186676112667
TS%,0.5262854868600443,0.32177291459042695,0.1559446267885024,0.19274229355957517,0.10772154984474079,0.6791473508438693,1.0,0.1791366905897961,0.7476095672847966,-0.0002995669481070113,0.7022947092176848,0.8225683286588438,0.7149573478961058,0.11242948494927098,0.6634117443232704,0.5771716121623066
USG%,0.7968532468285983,0.14001769359682867,0.11186032711341971,0.24902701690644324,0.04625879001356736,0.6441201869287777,0.1791366905897961,1.0,0.37105833387679443,0.13846916917512625,0.3341407422824642,0.2710706078532141,0.5122996816221914,-0.24069107766435724,0.3466174839633025,0.38276975132640273
OWS,0.7389879054936518,0.3500441729712429,0.40163561072901094,0.4012034047370851,0.08320671694374067,0.8431907542607853,0.7476095672847966,0.37105833387679443,1.0,0.0419158734166106,0.9491441428907946,0.8829875661257327,0.8853352556199691,0.1512665614961052,0.8265588714329503,0.8787614002249186
DWS,0.09150388913175828,-0.03050534768381476,0.06901193282657098,0.052177716600204024,0.0021013832748952343,0.0957774781554029,-0.0002995669481070113,0.13846916917512625,0.0419158734166106,1.0,0.06212691246419514,0.06628542891456858,0.08490764093898617,0.027432622480665185,0.08493939213837817,0.07314118954403712
WS,0.7332746249866104,0.5089957162571193,0.37768649965466145,0.46637663600859774,0.2490992290604967,0.8379607878991328,0.7022947092176848,0.3341407422824642,0.9491441428907946,0.06212691246419514,1.0,0.9055653073419044,0.8362935351703015,0.3432702331008886,0.860879094231668,0.9216258685320121
WS/48,0.6381548191476899,0.44250962398368887,0.2999781211999858,0.395048032217854,0.21204391391487215,0.8534481305882382,0.8225683286588438,0.2710706078532141,0.8829875661257327,0.06628542891456858,0.9055653073419044,1.0,0.8558669448312193,0.3552470503899073,0.8830104452833164,0.8260779556027668
OBPM,0.8050825834017851,0.27889976686950235,0.5289909130301775,0.5400408960062351,0.0301991361489012,0.9320880256165165,0.7149573478961058,0.5122996816221914,0.8853352556199691,0.08490764093898617,0.8362935351703015,0.8558669448312193,1.0,0.1314780064992695,0.9178443972388713,0.8667824474740362
DBPM,-0.010556940287383935,0.24972074162361113,0.23442544374182833,0.4734682173159271,0.4698005148302627,0.19175831148751038,0.11242948494927098,-0.24069107766435724,0.1512665614961052,0.027432622480665185,0.3432702331008886,0.3552470503899073,0.1314780064992695,1.0,0.5137723461923067,0.4742137153068125
BPM,0.6915848643784323,0.3410873020925315,0.5520964103675643,0.6561650734331368,0.21363239497699615,0.883458019438082,0.6634117443232704,0.3466174839633025,0.8265588714329503,0.08493939213837817,0.860879094231668,0.8830104452833164,0.9178443972388713,0.5137723461923067,1.0,0.9397539322828099
VORP,0.7155835475191823,0.3812671236468077,0.5542384877077029,0.6398232838353284,0.23516399680719208,0.8542186676112667,0.5771716121623066,0.38276975132640273,0.8787614002249186,0.07314118954403712,0.9216258685320121,0.8260779556027668,0.8667824474740362,0.4742137153068125,0.9397539322828099,1.0
