Player,Tm,DWS,SeasonLabel
Hakeem Olajuwon*,HOU,7.8,1988-1989
Jack Sikma*,SEA,6.7,1981-1982
Mark Eaton,UTA,6.7,1984-1985
Karl Malone*,UTA,6.6,1988-1989
Mark Eaton,UTA,6.5,1988-1989
Hakeem Olajuwon*,HOU,6.3,1987-1988
Larry Bird*,BOS,6.2,1985-1986
Rick Mahorn,WSB,6.2,1982-1983
Julius Erving*,PHI,6.1,1980-1981
Larry Bird*,BOS,6.1,1980-1981
Michael Jordan*,CHI,6.1,1987-1988
Karl Malone*,UTA,6.1,1987-1988
Hakeem Olajuwon*,HOU,6.0,1986-1987
Moses Malone*,PHI,6.0,1982-1983
Buck Williams,NJN,5.9,1982-1983
John Stockton*,UTA,5.8,1988-1989
Larry Bird*,BOS,5.7,1981-1982
Larry Bird*,BOS,5.6,1983-1984
Larry Nance,PHO,5.6,1982-1983
Larry Bird*,BOS,5.6,1982-1983
