Player,Tm,VORP,SeasonLabel
Michael Jordan*,CHI,12.5,1987-1988
Michael Jordan*,CHI,11.4,1988-1989
Michael Jordan*,CHI,10.6,1986-1987
Michael Jordan*,CHI,10.6,1989-1990
Magic Johnson*,LAL,8.9,1989-1990
Larry Bird*,BOS,8.7,1984-1985
Larry Bird*,BOS,8.6,1986-1987
Larry Bird*,BOS,8.4,1985-1986
Magic Johnson*,LAL,8.3,1988-1989
John Stockton*,UTA,8.3,1988-1989
Larry Bird*,BOS,8.1,1987-1988
John Stockton*,UTA,8.0,1989-1990
Magic Johnson*,LAL,8.0,1986-1987
Charles Barkley*,PHI,8.0,1989-1990
John Stockton*,UTA,7.6,1987-1988
Charles Barkley*,PHI,7.5,1987-1988
Michael Jordan*,CHI,7.4,1984-1985
Charles Barkley*,PHI,7.4,1988-1989
Larry Bird*,BOS,7.3,1983-1984
Larry Bird*,BOS,7.2,1982-1983
