Player,Tm,WS,SeasonLabel
Michael Jordan*,CHI,21.2,1987-1988
Michael Jordan*,CHI,19.8,1988-1989
Michael Jordan*,CHI,19.0,1989-1990
Charles Barkley*,PHI,17.3,1989-1990
Michael Jordan*,CHI,16.9,1986-1987
Charles Barkley*,PHI,16.7,1987-1988
Magic Johnson*,LAL,16.5,1989-1990
Magic Johnson*,LAL,16.1,1988-1989
Charles Barkley*,PHI,16.1,1988-1989
Karl Malone*,UTA,15.9,1989-1990
Magic Johnson*,LAL,15.9,1986-1987
Larry Bird*,BOS,15.8,1985-1986
Larry Bird*,BOS,15.7,1984-1985
John Stockton*,UTA,15.6,1988-1989
Moses Malone*,HOU,15.4,1981-1982
Larry Bird*,BOS,15.2,1986-1987
Karl Malone*,UTA,15.2,1988-1989
David Robinson*,SAS,15.1,1989-1990
Moses Malone*,PHI,15.1,1982-1983
Larry Bird*,BOS,15.0,1987-1988
