Player,Pos,Age,Tm,G,MP,PTS,TRB,AST,STL,BLK,TOV,FG%,3P%,2P%,eFG%,FT%,Season,PER,TS%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
Kareem Abdul-Jabbar*,C,41,LAL,74,22.9,10.1,4.5,1.0,0.5,1.1,1.3,0.475,,0.477,0.475,0.739,1988-1989,12.9,0.511,20.1,0.9,2.0,2.9,0.082,-1.9,-0.2,-2.1,0.0
Michael Adams,PG,26,DEN,77,36.2,18.5,3.7,6.4,2.2,0.1,2.3,0.433,0.356,0.49,0.509,0.819,1988-1989,17.5,0.567,19.7,5.4,2.9,8.3,0.143,2.7,0.2,2.9,3.4
Mark Aguirre,SF,29,TOT,80,32.5,18.9,4.8,3.5,0.6,0.5,2.6,0.461,0.293,0.488,0.481,0.733,1988-1989,16.4,0.524,27.4,2.4,2.1,4.5,0.082,1.4,-1.3,0.1,1.4
Mark Aguirre,SF,29,DAL,44,34.8,21.7,5.3,4.3,0.7,0.7,3.2,0.45,0.293,0.471,0.467,0.73,1988-1989,17.3,0.509,30.5,0.7,1.0,1.7,0.052,1.5,-1.9,-0.4,0.6
Mark Aguirre,SF,29,DET,36,29.7,15.5,4.2,2.5,0.4,0.2,1.9,0.483,0.293,0.522,0.508,0.738,1988-1989,15.1,0.551,23.0,1.7,1.1,2.8,0.126,1.2,-0.3,0.9,0.8
Danny Ainge,PG,29,TOT,73,32.6,17.5,3.5,5.5,1.3,0.1,2.0,0.457,0.38,0.488,0.512,0.854,1988-1989,18.0,0.554,22.6,5.2,1.4,6.7,0.135,2.9,-0.4,2.5,2.7
Danny Ainge,PG,29,BOS,45,30.0,15.9,3.4,4.8,1.2,0.0,1.8,0.46,0.374,0.491,0.509,0.891,1988-1989,17.5,0.553,22.4,2.9,0.8,3.8,0.133,2.7,-0.4,2.3,1.5
Danny Ainge,PG,29,SAC,28,36.7,20.3,3.6,6.7,1.5,0.3,2.3,0.452,0.387,0.484,0.515,0.813,1988-1989,18.6,0.554,22.9,2.3,0.6,2.9,0.136,3.1,-0.5,2.7,1.2
Mark Alarie,PF,25,WSB,74,15.4,6.7,3.4,0.9,0.3,0.3,0.8,0.478,0.342,0.491,0.493,0.839,1988-1989,13.3,0.531,18.7,1.2,1.0,2.2,0.093,-1.1,-0.8,-2.0,0.0
Steve Alford,PG,24,GSW,57,15.2,6.3,1.2,1.5,0.8,0.1,0.8,0.463,0.377,0.481,0.495,0.831,1988-1989,12.1,0.53,16.7,0.7,0.6,1.4,0.076,-2.0,-0.5,-2.5,-0.1
Greg Anderson,PF,24,SAS,82,29.3,13.7,8.2,0.7,1.2,1.3,2.2,0.503,,0.505,0.503,0.514,1988-1989,14.9,0.516,20.6,0.4,3.1,3.4,0.069,-1.1,-0.8,-2.0,0.0
Michael Anderson,PG,22,SAS,36,20.3,5.7,2.5,4.3,1.2,0.1,2.3,0.417,0.143,0.429,0.42,0.695,1988-1989,10.5,0.483,15.7,-0.5,0.6,0.2,0.01,-2.2,-0.2,-2.4,-0.1
Richard Anderson,PF,28,POR,72,15.0,5.2,3.2,1.4,0.6,0.2,0.8,0.417,0.348,0.464,0.487,0.842,1988-1989,12.0,0.509,14.9,0.9,1.2,2.1,0.093,-0.2,0.2,0.1,0.6
Ron Anderson,SF,30,PHI,82,31.9,16.2,5.0,1.7,0.9,0.3,1.5,0.491,0.182,0.494,0.492,0.856,1988-1989,15.3,0.531,21.9,3.5,0.9,4.4,0.081,0.6,-2.0,-1.3,0.4
Willie Anderson,SF,22,SAS,81,33.8,18.6,5.1,4.6,1.9,0.8,3.2,0.498,0.19,0.503,0.5,0.775,1988-1989,16.6,0.534,23.8,2.1,2.8,4.9,0.085,0.8,0.4,1.3,2.3
