Player,Pos,Age,Tm,G,MP,PTS,TRB,AST,STL,BLK,TOV,FG%,3P%,2P%,eFG%,FT%,Season,PER,TS%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
Kareem Abdul-Jabbar*,C,39,LAL,78,31.3,17.5,6.7,2.6,0.6,1.2,2.4,0.564,,0.565,0.564,0.714,1986-1987,17.9,0.597,22.1,4.5,3.0,7.5,0.148,1.4,0.1,1.6,2.2
Alvan Adams,C,32,PHO,68,24.9,11.1,5.0,3.3,0.9,0.5,2.0,0.503,,0.504,0.503,0.788,1986-1987,14.6,0.546,20.0,1.2,1.6,2.8,0.079,-0.4,0.3,-0.1,0.8
Michael Adams,PG,24,WSB,63,20.7,7.2,2.0,3.9,1.3,0.1,1.3,0.407,0.275,0.454,0.443,0.847,1986-1987,14.3,0.506,16.3,1.2,1.5,2.7,0.099,0.0,1.2,1.2,1.0
Mark Aguirre,SF,27,DAL,80,33.3,25.7,5.3,3.2,1.1,0.4,2.7,0.495,0.353,0.51,0.512,0.77,1986-1987,22.1,0.56,31.3,6.8,2.1,8.9,0.16,4.1,-1.1,3.1,3.4
Danny Ainge,SG,27,BOS,71,35.2,14.8,3.4,5.6,1.4,0.2,2.0,0.486,0.443,0.498,0.536,0.897,1986-1987,15.2,0.574,18.0,4.1,2.5,6.7,0.128,1.0,0.3,1.2,2.0
Mark Alarie,PF,23,DEN,64,17.3,7.9,3.3,1.2,0.3,0.4,0.9,0.49,0.222,0.495,0.492,0.663,1986-1987,12.5,0.516,18.8,0.7,0.7,1.5,0.064,-1.8,-1.4,-3.2,-0.3
John Bagley,PG,26,CLE,72,30.3,10.7,3.5,5.3,1.3,0.1,2.3,0.426,0.301,0.447,0.447,0.831,1986-1987,12.1,0.485,17.5,0.3,2.3,2.6,0.058,-1.4,0.2,-1.3,0.4
James Bailey,PF,29,NJN,34,15.9,8.3,4.0,0.6,0.4,0.7,1.6,0.469,,0.469,0.469,0.725,1986-1987,11.9,0.514,24.4,-0.2,0.5,0.3,0.031,-4.3,-0.5,-4.9,-0.4
Thurl Bailey,PF,25,UTA,81,26.6,13.8,5.3,1.3,0.5,1.1,1.5,0.447,,0.448,0.447,0.805,1986-1987,13.9,0.49,23.2,0.2,2.9,3.1,0.07,-1.0,-0.4,-1.3,0.4
Greg Ballard,SF,32,GSW,82,19.3,7.1,4.1,1.3,0.6,0.2,0.9,0.44,0.375,0.445,0.453,0.747,1986-1987,11.5,0.479,17.2,0.5,1.2,1.7,0.052,-1.6,-0.5,-2.1,-0.1
Gene Banks,SF,27,CHI,63,28.9,9.7,4.9,2.7,0.8,0.3,1.8,0.539,0.0,0.545,0.539,0.767,1986-1987,12.6,0.58,14.8,1.9,1.7,3.6,0.095,-0.9,-0.3,-1.2,0.4
Charles Barkley*,PF,23,PHI,68,40.3,23.0,14.6,4.9,1.8,1.5,4.7,0.594,0.202,0.643,0.606,0.761,1986-1987,25.1,0.66,23.1,7.7,4.3,12.0,0.21,5.4,1.3,6.7,6.0
William Bedford,C,23,PHO,50,19.6,6.7,4.9,1.1,0.4,0.7,1.7,0.397,,0.398,0.397,0.581,1986-1987,7.6,0.422,19.9,-1.7,0.9,-0.8,-0.041,-5.4,-1.2,-6.6,-1.1
Benoit Benjamin,C,22,LAC,72,31.0,11.5,8.1,1.9,0.8,2.6,2.6,0.449,,0.45,0.449,0.715,1986-1987,12.6,0.5,18.1,-1.3,2.4,1.1,0.024,-3.3,1.2,-2.1,-0.1
Walter Berry,SF-PF,22,TOT,63,25.2,15.9,4.9,1.7,0.6,0.6,2.4,0.531,,0.533,0.531,0.649,1986-1987,16.8,0.561,26.5,1.4,0.9,2.3,0.071,0.0,-1.7,-1.6,0.1
