Player,Tm,Season,dependence_score,dependence_rank,burden_gap
J.R. Reid,CHH,1989-1990,4.542105335535763,59.0,218.0
Rex Chapman,CHH,1989-1990,1.1694009434197485,148.0,168.0
Joe Wolf,LAC,1989-1990,-0.6344930466746118,203.0,162.66666666666669
Jeff Turner,ORL,1989-1990,-1.1773420001133512,222.0,151.0
Kevin Edwards,MIA,1989-1990,2.8054306192025127,102.0,149.33333333333334
Robert Reid,CHH,1989-1990,-1.0401554035428622,220.0,142.66666666666669
Glen Rice,MIA,1989-1990,2.713325044450646,104.0,142.33333333333334
Rory Sparrow,MIA,1989-1990,1.1030776668845579,153.0,140.66666666666669
Clifford Robinson,POR,1989-1990,0.42798334616365435,170.0,140.0
LaSalle Thompson,IND,1989-1990,2.6815717975425777,105.0,130.66666666666666
Greg Kite,SAC,1989-1990,0.13962769581751922,180.0,123.66666666666669
Mookie Blaylock,NJN,1989-1990,0.5132530011711379,167.0,123.33333333333331
Winston Garland,GSW,1989-1990,-1.2634174387180004,225.0,116.66666666666669
Sidney Green,ORL,1989-1990,2.2202621941549756,112.0,116.66666666666666
Terry Catledge,ORL,1989-1990,3.722157628423541,78.0,114.33333333333334
Randy White,DAL,1989-1990,-2.0203810221447682,261.0,114.0
Jack Haley,NJN,1989-1990,-1.0356828878938555,219.0,113.33333333333331
Tellis Frank,MIA,1989-1990,1.3396562948935875,139.0,109.66666666666666
Mark Acres,ORL,1989-1990,0.4547447428825184,168.0,108.33333333333331
Sedric Toney,SAC,1989-1990,-2.1473985300349265,269.0,106.0
